Date,Country,State,Tested,Confirmed,Recovered,Death,Active,First Dose Vaccinated,Second Dose Vaccinated,Total Vaccinated,Non-Vaccinated,Male Vaccinated,Female Vaccinated,Transgender Vaccinated,Covishield Doses,Covaxin Doses
1/1/2021,India,Delhi,8740395,625369,609322,10536,5511,212,0,212,19999788,117,95,0,212,0
1/2/2021,India,Delhi,8807759,625954,610039,10557,5358,239,0,239,19999761,109,130,0,239,0
1/3/2021,India,Delhi,8876518,626448,610535,10571,5342,256,0,256,19999744,112,144,0,256,0
1/4/2021,India,Delhi,8926806,626872,611243,10585,5044,267,0,267,19999733,123,144,0,267,0
1/5/2021,India,Delhi,9006583,627256,611970,10597,4689,333,0,333,19999667,169,164,0,333,0
1/6/2021,India,Delhi,9082133,627698,612527,10609,4562,379,0,379,19999621,213,166,0,379,0
1/7/2021,India,Delhi,9158755,628352,613246,10625,4481,389,0,389,19999611,237,152,0,389,0
1/8/2021,India,Delhi,9234479,628838,614026,10644,4168,401,0,401,19999599,256,145,0,401,0
1/9/2021,India,Delhi,9314754,629282,614849,10654,3779,534,0,534,19999466,309,225,0,534,0
1/10/2021,India,Delhi,9392354,629801,615452,10666,3683,553,0,553,19999447,338,215,0,553,0
1/11/2021,India,Delhi,9448744,630200,616054,10678,3468,605,0,605,19999395,389,216,0,598,7
1/12/2021,India,Delhi,9524657,630506,616461,10691,3354,676,0,676,19999324,403,273,0,663,13
1/13/2021,India,Delhi,9595402,630892,617006,10707,3179,734,0,734,19999266,437,297,0,711,23
1/14/2021,India,Delhi,9666727,631249,617540,10718,2991,776,0,776,19999224,448,328,0,749,27
1/15/2021,India,Delhi,9733648,631589,617930,10722,2937,800,0,800,19999200,520,280,0,769,31
1/16/2021,India,Delhi,9805605,631884,618357,10732,2795,892,0,892,19999108,525,367,0,859,33
1/17/2021,India,Delhi,9873068,632183,618754,10738,2691,1005,0,1005,19998995,603,402,0,969,36
1/18/2021,India,Delhi,9923591,632429,619139,10746,2544,1366,0,1366,19998634,840,526,0,1320,46
1/19/2021,India,Delhi,9996032,632590,619501,10754,2335,3041,0,3041,19996959,1837,1204,0,2877,164
1/20/2021,India,Delhi,10059193,632821,619723,10764,2334,3041,0,3041,19996959,1837,1204,0,2877,164
1/21/2021,India,Delhi,10140743,633049,620128,10774,2147,5308,0,5308,19994692,2975,2333,0,5044,264
1/22/2021,India,Delhi,10212593,633276,620374,10782,2120,5331,0,5331,19994669,2994,2337,0,5067,264
1/23/2021,India,Delhi,10289461,633542,620693,10789,2060,12312,0,12312,19987688,6644,5668,0,11762,550
1/24/2021,India,Delhi,10351768,633739,621060,10799,1880,12614,0,12614,19987386,6808,5806,0,12056,558
1/25/2021,India,Delhi,10400218,633924,621375,10808,1741,20373,0,20373,19979627,10941,9432,0,19390,983
1/26/2021,India,Delhi,10465191,634072,621565,10813,1694,20427,0,20427,19979573,10958,9469,0,19444,983
1/27/2021,India,Delhi,10495046,634229,621783,10820,1626,27603,0,27603,19972397,14895,12708,0,26269,1334
1/28/2021,India,Delhi,10553039,634325,621995,10829,1501,35881,0,35881,19964119,19361,16520,0,34096,1785
1/29/2021,India,Delhi,10611764,634524,622114,10835,1575,35937,0,35937,19964063,19388,16549,0,34150,1787
1/30/2021,India,Delhi,10680731,634773,622381,10841,1551,44758,0,44758,19955242,23969,20789,0,42584,2174
1/31/2021,India,Delhi,10741426,634956,622671,10849,1436,44840,0,44840,19955160,24023,20817,0,42664,2176
2/1/2021,India,Delhi,10785138,635096,622882,10853,1361,52760,0,52760,19947240,28237,24523,0,50120,2640
2/2/2021,India,Delhi,10843736,635217,623096,10856,1265,62086,0,62086,19937914,33295,28791,0,58217,3869
2/3/2021,India,Delhi,10900394,635331,623256,10858,1217,69462,0,69462,19930538,37191,32271,0,64599,4863
2/4/2021,India,Delhi,10967628,635481,623409,10864,1208,78948,0,78948,19921052,42617,36331,0,72979,5969
2/5/2021,India,Delhi,11027592,635639,623574,10871,1194,88045,0,88045,19911955,47686,40359,0,81055,6990
2/6/2021,India,Delhi,11090914,635793,623714,10873,1206,97492,0,97492,19902508,53760,43732,0,89509,7983
2/7/2021,India,Delhi,11145161,635916,623865,10877,1174,97495,0,97495,19902505,53761,43734,0,89512,7983
2/8/2021,India,Delhi,11200551,636035,624044,10879,1112,107116,0,107116,19892884,60642,46474,0,97703,9413
2/9/2021,India,Delhi,11256961,636160,624182,10882,1096,119917,0,119917,19880083,70521,49393,3,108477,11440
2/10/2021,India,Delhi,11323764,636260,624326,10882,1052,134600,0,134600,19865400,82321,52270,9,120869,13731
2/11/2021,India,Delhi,11388092,636387,624326,10884,1177,150348,0,150348,19849652,95078,55255,15,133407,16941
2/12/2021,India,Delhi,11451114,636529,624592,10886,1051,164976,0,164976,19835024,106900,58057,19,145021,19955
2/13/2021,India,Delhi,11511990,636670,624728,10889,1053,178174,1967,180141,19819859,117328,60826,20,155665,22509
2/14/2021,India,Delhi,11568892,636796,624866,10889,1041,178176,1967,180143,19819857,117330,60826,20,155666,22510
2/15/2021,India,Delhi,11607957,636946,625024,10891,1031,192891,4140,197031,19802969,128980,63887,24,167222,25669
2/16/2021,India,Delhi,11664901,637087,625158,10893,1036,207447,6826,214273,19785727,140385,67026,36,178849,28598
2/17/2021,India,Delhi,11724787,637181,625268,10894,1019,223511,8033,231544,19768456,153075,70390,46,191122,32389
2/18/2021,India,Delhi,11785228,637315,625343,10894,1078,241096,11747,252843,19747157,168106,72928,62,203066,38030
2/19/2021,India,Delhi,11846064,637445,625496,10896,1053,270025,13604,283629,19716371,189330,80618,77,226031,43994
2/20/2021,India,Delhi,11908127,637603,625653,10897,1053,291137,18273,309410,19690590,205007,86047,83,241156,49981
2/21/2021,India,Delhi,11971940,637755,625832,10898,1025,291146,18273,309419,19690581,205016,86047,83,241165,49981
2/22/2021,India,Delhi,12014182,637900,625929,10900,1071,312680,23864,336544,19663456,221784,90810,86,256503,56177
2/23/2021,India,Delhi,12072509,638028,626086,10901,1041,330559,26103,356662,19643338,235887,94578,94,269661,60898
2/24/2021,India,Delhi,12128677,638173,626261,10903,1009,344481,30557,375038,19624962,246901,97485,95,279811,64670
2/25/2021,India,Delhi,12192675,638373,626331,10905,1137,357350,36121,393471,19606529,256955,100290,105,288866,68484
2/26/2021,India,Delhi,12255443,638593,626519,10905,1169,367699,38732,406431,19593569,264730,102860,109,296413,71286
2/27/2021,India,Delhi,12322927,638849,626712,10906,1231,367699,38732,406431,19593569,264730,102860,109,296413,71286
2/28/2021,India,Delhi,12380699,639092,626876,10909,1307,367699,38732,406431,19593569,264730,102860,109,296413,71286
3/1/2021,India,Delhi,12420432,639289,627044,10910,1335,367699,38732,406431,19593569,264730,102860,109,296413,71286
3/2/2021,India,Delhi,12487056,639464,627149,10911,1404,383386,44991,428377,19571623,275223,108053,110,307685,75701
3/3/2021,India,Delhi,12555887,628770,627227,10911,-9368,394019,49823,443842,19556158,282017,111891,111,314923,79096
3/4/2021,India,Delhi,12622319,639921,627423,10914,1584,405213,55099,460312,19539688,289098,116004,111,322913,82300
3/5/2021,India,Delhi,12681441,640182,627566,10915,1701,414969,60620,475589,19524411,295038,119819,112,329950,85019
3/6/2021,India,Delhi,12734503,640494,627797,10918,1779,426890,68264,495154,19504846,301985,124793,112,338669,88221
3/7/2021,India,Delhi,12826117,640815,628117,10919,1779,426957,68286,495243,19504757,302019,124826,112,338687,88270
3/8/2021,India,Delhi,12873806,641101,628377,10921,1803,440429,75759,516188,19483812,310101,130214,114,348573,91856
3/9/2021,India,Delhi,12940550,641340,628686,10924,1730,395281,84770,480051,19519949,337074,142863,114,379958,100014
3/10/2021,India,Delhi,13011703,641660,628920,10928,1812,405377,93247,498624,19501376,349344,149166,114,394577,103968
3/11/2021,India,Delhi,13081513,641660,628920,10928,1812,415349,101099,516448,19483552,361846,154488,114,408141,108226
3/12/2021,India,Delhi,13153544,642030,629199,10931,1900,425063,110727,535790,19464210,374607,161069,114,423028,112680
3/13/2021,India,Delhi,13227870,642870,629841,10936,2093,438850,121516,560366,19439634,390609,169642,115,441769,118514
3/14/2021,India,Delhi,13296093,643289,630143,10939,2207,438862,121530,560392,19439608,390621,169656,115,441795,118514
3/15/2021,India,Delhi,13358365,643696,630493,10941,2262,453718,132136,585854,19414146,407630,178107,117,460934,124837
3/16/2021,India,Delhi,13428414,644064,630799,10944,2321,539287,143560,682847,19317153,370906,168264,117,545259,137588
3/17/2021,India,Delhi,13509270,644489,631056,10945,2488,731870,152935,884805,19115195,473623,258086,161,700291,184514
3/18/2021,India,Delhi,13589523,645025,631375,10948,2702,758842,166768,925610,19074390,488818,269860,164,730433,195177
3/19/2021,India,Delhi,13666875,645632,631756,10949,2927,776830,177682,954512,19045488,498736,277926,168,752107,202405
3/20/2021,India,Delhi,13742763,646348,632230,10953,3165,810104,192567,1002671,18997329,516701,293229,174,787409,215262
3/21/2021,India,Delhi,13822477,647161,632797,10955,3409,811261,192811,1004072,18995928,517351,293736,174,788441,215631
3/22/2021,India,Delhi,13889895,647984,633410,10956,3618,839942,206825,1046767,18953233,533079,306685,178,819174,227593
3/23/2021,India,Delhi,13974132,648872,633975,10963,3934,871370,219393,1090763,18909237,550333,320853,184,850035,240728
3/24/2021,India,Delhi,14056463,649973,634595,10967,4411,889115,226687,1115802,18884198,560185,328745,185,868072,247730
3/25/2021,India,Delhi,14146299,651227,635364,10973,4890,923806,234844,1158650,18841350,579493,344123,190,897316,261334
3/26/2021,India,Delhi,14231391,652742,636267,10978,5497,941076,239510,1180586,18819414,589085,351798,193,913313,267273
3/27/2021,India,Delhi,14323094,654276,637238,10987,6051,977993,244115,1222108,18777892,608614,369184,195,941120,280988
3/28/2021,India,Delhi,14403030,655834,638212,10997,6625,978569,244144,1222713,18777287,608920,369454,195,941554,281159
3/29/2021,India,Delhi,14471835,657715,639164,11006,7545,978572,244147,1222719,18777281,608913,369464,195,941569,281150
3/30/2021,India,Delhi,14508592,659616,640575,11012,8029,1013442,251797,1265239,18734761,627800,385438,204,969500,295739
3/31/2021,India,Delhi,14575662,660611,642166,11016,7429,1034327,259730,1294057,18705943,639330,394788,209,989183,304874
4/1/2021,India,Delhi,14653735,662430,642565,11027,8838,1087850,267295,1355145,18644855,667341,420294,215,1029584,325561
4/2/2021,India,Delhi,14741240,665220,643686,11036,10498,1152888,274181,1427069,18572931,702254,450407,227,1075818,351251
4/3/2021,India,Delhi,14820857,668814,645770,11050,11994,1211419,281748,1493167,18506833,734068,477117,234,1119488,373679
4/4/2021,India,Delhi,14907756,672381,648674,11060,12647,1290748,287504,1578252,18421748,777740,512765,243,1173490,404762
4/5/2021,India,Delhi,14971759,676414,651351,11081,13982,1352825,296402,1649227,18350773,811003,541572,250,1219730,429497
4/6/2021,India,Delhi,15075212,679962,654277,11096,14589,1396046,302735,1698781,18301219,833942,561844,260,1250985,447796
4/7/2021,India,Delhi,15165413,685062,656617,11113,17332,1469113,315870,1784983,18215017,873038,595813,262,1307478,477505
4/8/2021,India,Delhi,15257183,690568,659980,11133,19455,1565572,331947,1897519,18102481,923456,641838,278,1382448,515071
4/9/2021,India,Delhi,15366581,698005,663667,11157,23181,1613146,343540,1956686,18043314,948404,664454,288,1424460,532226
4/10/2021,India,Delhi,15443955,706526,668699,11196,26631,1705350,357341,2062691,17937309,995965,709088,297,1491959,570732
4/11/2021,India,Delhi,15558243,714423,674415,11235,28773,1780609,365110,2145719,17854281,1037794,742505,310,1543479,602240
4/12/2021,India,Delhi,15650640,725197,679573,11283,34341,1855493,380409,2235902,17764098,1079935,775235,323,1600673,635229
4/13/2021,India,Delhi,15753100,736688,687238,11355,38095,1912002,392881,2304883,17695117,1115142,796535,325,1643336,661547
4/14/2021,India,Delhi,15861634,750156,695210,11436,43510,1971274,405713,2376987,17623013,1149522,821419,333,1688937,688050
4/15/2021,India,Delhi,15944203,767438,705162,11540,50736,2031982,422889,2454871,17545129,1185074,846567,341,1738400,716471
4/16/2021,India,Delhi,16043160,784137,718176,11652,54309,2065695,438376,2504071,17495929,1205218,860130,347,1773334,730737
4/17/2021,India,Delhi,16142390,803623,730825,11793,61005,2121099,451586,2572685,17427315,1239449,881283,367,1816618,756067
4/18/2021,India,Delhi,16228010,827998,746239,11960,69799,2162307,458970,2621277,17378723,1264802,897129,376,1847037,774240
4/19/2021,India,Delhi,16318706,853460,766398,12121,74941,2202752,479340,2682092,17317908,1289105,913261,386,1886499,795593
4/20/2021,India,Delhi,16405232,877146,787898,12361,76887,2238271,494236,2732507,17267493,1310586,927296,389,1918528,813979
4/21/2021,India,Delhi,16484000,905541,807328,12638,85575,2277803,509313,2787116,17212884,1332312,945097,394,1954723,832393
4/22/2021,India,Delhi,16556208,930179,831928,12887,85364,2325997,529660,2855657,17144343,1358333,967263,401,1998613,857044
4/23/2021,India,Delhi,16631245,956348,851537,13193,91618,2347381,544476,2891857,17108143,1370063,976915,403,2025090,866767
4/24/2021,India,Delhi,16705947,980679,875109,13541,92029,2395935,566296,2962231,17037769,1396008,999520,407,2069819,892412
4/25/2021,India,Delhi,16781859,1004782,897804,13898,93080,2425352,578125,3003477,16996523,1411612,1013331,409,2098484,904993
4/26/2021,India,Delhi,16839549,1027715,918875,14248,94592,2461970,599597,3061567,16938433,1431247,1030308,415,2136788,924779
4/27/2021,India,Delhi,16913360,1047916,940930,14628,92358,2495676,619156,3114832,16885168,1449537,1045720,419,2171744,943088
4/28/2021,India,Delhi,16995189,1072065,958792,15009,98264,2512508,635385,3147893,16852107,1458364,1053721,423,2196886,951007
4/29/2021,India,Delhi,17069040,1098051,979250,15377,103424,2558135,666693,3224828,16775172,1482632,1075072,431,2245971,978857
4/30/2021,India,Delhi,17151785,1122286,1008537,15772,97977,2581651,690299,3271950,16728050,1495036,1086175,440,2279900,992050
5/1/2021,India,Delhi,17231565,1149333,1033825,16147,99361,2611942,711307,3323249,16676751,1511816,1099682,444,2308489,1014760
5/2/2021,India,Delhi,17303562,1174552,1061246,16559,96747,2613227,711675,3324902,16675098,1512591,1100192,444,2309854,1015048
5/3/2021,India,Delhi,17364607,1194946,1085690,16966,92290,2676373,739355,3415728,16584272,1551202,1124715,456,2360953,1054775
5/4/2021,India,Delhi,17439261,1212989,1105983,17414,89592,2742953,764682,3507635,16492365,1591565,1150913,475,2414333,1093302
5/5/2021,India,Delhi,17518752,1232942,1124771,17752,90419,2800013,776078,3576091,16423909,1626372,1173158,483,2458649,1117442
5/6/2021,India,Delhi,17597532,1253902,1143980,18063,91859,2883317,810497,3693814,16306186,1676526,1206289,502,2528757,1165057
5/7/2021,India,Delhi,17677125,1273035,1164008,18398,90629,2951479,822589,3774068,16225932,1717488,1233474,517,2581057,1193011
5/8/2021,India,Delhi,17751509,1292867,1183093,18739,91035,3044458,861454,3905912,16094088,1771228,1272699,531,2661248,1244664
5/9/2021,India,Delhi,17813061,1310231,1203253,19071,87907,3045394,862075,3907469,16092531,1771717,1273146,531,2662713,1244756
5/10/2021,India,Delhi,17879295,1323567,1217991,19344,86232,3142198,909259,4051457,15948543,1827189,1314458,551,2752041,1299416
5/11/2021,India,Delhi,17949571,1336218,1231297,19663,85258,3229399,954497,4183896,15816104,1876398,1352431,570,2837269,1346627
5/12/2021,India,Delhi,18027606,1348699,1244880,20010,83809,3292311,967027,4259338,15740662,1912592,1379139,580,2895849,1363489
5/13/2021,India,Delhi,18101281,1361986,1258951,20310,82725,3378261,1007644,4385905,15614095,1960353,1417310,598,2980410,1405495
5/14/2021,India,Delhi,18169856,1372475,1274140,20618,77717,3381649,1008943,4390592,15609408,1962290,1418759,600,2984454,1406138
5/15/2021,India,Delhi,18226667,1380981,1288280,20907,71794,3464560,1046847,4511407,15488593,2008240,1455692,628,3069663,1441744
5/16/2021,India,Delhi,18288726,1387411,1299872,21244,66295,3544850,1058370,4603220,15396780,2053531,1490666,653,3141258,1461962
5/17/2021,India,Delhi,18342482,1393867,1309578,21506,62783,3639716,1077967,4717683,15282317,2107356,1531683,677,3231580,1486103
5/18/2021,India,Delhi,18407486,1398391,1320496,21846,56049,3729586,1095080,4824666,15175334,2158874,1570007,705,3317432,1507234
5/19/2021,India,Delhi,18474059,1402873,1329899,22111,50863,3791772,1102221,4893993,15106007,2195074,1595984,714,3379017,1514976
5/20/2021,India,Delhi,18532803,1406719,1339326,22346,45047,3849484,1123443,4972927,15027073,2227935,1620816,733,3435876,1537051
5/21/2021,India,Delhi,18595993,1409950,1347157,22579,40214,3891569,1132260,5023829,14976171,2251807,1639015,747,3476178,1547651
5/22/2021,India,Delhi,18659148,1412959,1354445,22831,35683,3937525,1151834,5089359,14910641,2277217,1659551,757,3520414,1568945
5/23/2021,India,Delhi,18727191,1415219,1360898,23013,31308,3941970,1152081,5094051,14905949,2279825,1661387,758,3524385,1569666
5/24/2021,India,Delhi,18788697,1416868,1366056,23202,27610,3982667,1166434,5149101,14850899,2302607,1679293,767,3565532,1583569
5/25/2021,India,Delhi,18862103,1418418,1370431,23409,24578,4016461,1176959,5193420,14806580,2322448,1693241,772,3600121,1593299
